,date,value
0,2018-01-10,57.0463
1,2018-01-11,56.8734
2,2018-01-12,56.9957
3,2018-01-13,56.6019
4,2018-01-16,56.3569
5,2018-01-17,56.3878
6,2018-01-18,56.5925
7,2018-01-19,56.7597
8,2018-01-20,56.5892
9,2018-01-23,56.6261
10,2018-01-24,56.4115
11,2018-01-25,56.3888
12,2018-01-26,55.9288
13,2018-01-27,55.8288
14,2018-01-30,56.2908
15,2018-01-31,56.2914
16,2018-02-01,56.184
17,2018-02-02,56.2613
18,2018-02-03,56.0408
19,2018-02-06,56.6278
20,2018-02-07,57.2196
21,2018-02-08,56.9533
22,2018-02-09,57.6736
23,2018-02-10,58.1718
24,2018-02-13,58.0171
25,2018-02-14,57.7701
26,2018-02-15,57.5899
27,2018-02-16,56.5918
28,2018-02-17,56.3554
29,2018-02-20,56.3438
30,2018-02-21,56.5201
31,2018-02-22,56.6537
32,2018-02-23,56.7608
33,2018-02-27,55.9208
34,2018-02-28,55.6717
35,2018-03-01,56.3742
36,2018-03-02,56.4334
37,2018-03-03,56.6616
38,2018-03-06,57.1
39,2018-03-07,56.5041
40,2018-03-08,56.8011
41,2018-03-13,56.6122
42,2018-03-14,56.9359
43,2018-03-15,56.9372
44,2018-03-16,57.0188
45,2018-03-17,57.4942
46,2018-03-20,57.5521
47,2018-03-21,57.7033
48,2018-03-22,57.4954
49,2018-03-23,56.8391
50,2018-03-24,57.1072
51,2018-03-27,57.0039
52,2018-03-28,57.1747
53,2018-03-29,57.5598
54,2018-03-30,57.7626
55,2018-03-31,57.2649
56,2018-04-03,57.285
57,2018-04-04,57.5375
58,2018-04-05,57.7646
59,2018-04-06,57.5796
60,2018-04-07,57.8332
61,2018-04-10,58.5714
62,2018-04-11,62.3699
63,2018-04-12,64.0626
64,2018-04-13,62.0659
65,2018-04-14,61.4311
66,2018-04-17,62.2794
67,2018-04-18,61.1454
68,2018-04-19,61.5539
69,2018-04-20,60.8583
70,2018-04-21,61.3222
71,2018-04-24,61.7655
72,2018-04-25,61.6644
73,2018-04-26,61.7494
74,2018-04-27,62.6027
75,2018-04-28,62.726
76,2018-04-29,61.9997
77,2018-05-04,63.486
78,2018-05-05,63.2012
79,2018-05-08,62.7148
80,2018-05-09,63.0066
81,2018-05-11,62.5229
82,2018-05-12,61.7354
83,2018-05-15,61.7684
84,2018-05-16,61.9164
85,2018-05-17,62.3033
86,2018-05-18,61.8215
87,2018-05-19,61.9408
88,2018-05-22,62.5327
89,2018-05-23,61.261
90,2018-05-24,61.5945
91,2018-05-25,61.409
92,2018-05-26,61.6659
93,2018-05-29,62.271
94,2018-05-30,62.642
95,2018-05-31,62.5937
96,2018-06-01,62.0188
97,2018-06-02,62.2056
98,2018-06-05,61.929
99,2018-06-06,61.9822
100,2018-06-07,62.0064
101,2018-06-08,61.8125
102,2018-06-09,62.668
103,2018-06-10,62.3431
104,2018-06-14,63.1164
105,2018-06-15,62.2511
106,2018-06-16,62.6851
107,2018-06-19,63.4838
108,2018-06-20,64.0683
109,2018-06-21,63.6175
110,2018-06-22,63.7873
111,2018-06-23,63.2396
112,2018-06-26,62.9497
113,2018-06-27,62.7908
114,2018-06-28,63.1359
115,2018-06-29,63.291
116,2018-06-30,62.7565
117,2018-07-03,63.1394
118,2018-07-04,63.2194
119,2018-07-05,63.2267
120,2018-07-06,63.2604
121,2018-07-07,63.1216
122,2018-07-10,62.8338
123,2018-07-11,62.4442
124,2018-07-12,62.098
125,2018-07-13,62.2062
126,2018-07-14,62.2934
127,2018-07-17,62.2556
128,2018-07-18,62.4352
129,2018-07-19,62.9006
130,2018-07-20,63.2746
131,2018-07-21,63.4888
132,2018-07-24,63.1957
133,2018-07-25,62.9235
134,2018-07-26,63.0836
135,2018-07-27,62.9471
136,2018-07-28,62.9726
137,2018-07-31,62.7805
138,2018-08-01,62.3497
139,2018-08-02,62.559
140,2018-08-03,63.1358
141,2018-08-04,63.4549
142,2018-08-07,63.4975
143,2018-08-08,63.5425
144,2018-08-09,63.595
145,2018-08-10,66.2856
146,2018-08-11,66.9075
147,2018-08-14,68.2234
148,2018-08-15,66.7535
149,2018-08-16,66.3772
150,2018-08-17,66.8932
151,2018-08-18,66.8757
152,2018-08-21,67.1807
153,2018-08-22,67.1783
154,2018-08-23,67.6163
155,2018-08-24,68.5259
156,2018-08-25,67.7911
157,2018-08-28,67.3963
158,2018-08-29,67.3911
159,2018-08-30,68.1451
160,2018-08-31,68.0821
161,2018-09-01,68.0447
162,2018-09-04,67.7443
163,2018-09-05,68.2737
164,2018-09-06,68.4628
165,2018-09-07,68.2505
166,2018-09-08,69.0286
167,2018-09-11,69.8685
168,2018-09-12,69.9744
169,2018-09-13,69.5728
170,2018-09-14,68.637
171,2018-09-15,68.2826
172,2018-09-18,68.1958
173,2018-09-19,67.7519
174,2018-09-20,67.0098
175,2018-09-21,66.4725
176,2018-09-22,66.2497
177,2018-09-25,66.1594
178,2018-09-26,65.8244
179,2018-09-27,65.7585
180,2018-09-28,65.8355
181,2018-09-29,65.5906
182,2018-10-02,65.5745
183,2018-10-03,65.2221
184,2018-10-04,65.4244
185,2018-10-05,66.2115
186,2018-10-06,66.627
187,2018-10-09,66.9685
188,2018-10-10,66.4032
189,2018-10-11,66.1832
190,2018-10-12,66.7727
191,2018-10-13,65.9751
192,2018-10-16,65.7508
193,2018-10-17,65.5305
194,2018-10-18,65.4026
195,2018-10-19,65.7238
196,2018-10-20,65.814
197,2018-10-23,65.3065
198,2018-10-24,65.3101
199,2018-10-25,65.6299
200,2018-10-26,65.7476
201,2018-10-27,65.6345
202,2018-10-30,65.8129
203,2018-10-31,65.7742
204,2018-11-01,65.5962
205,2018-11-02,65.6517
206,2018-11-03,65.5799
207,2018-11-07,65.9912
208,2018-11-08,66.0918
209,2018-11-09,66.2155
210,2018-11-10,66.8497
211,2018-11-13,67.5238
212,2018-11-14,67.6812
213,2018-11-15,67.9975
214,2018-11-16,66.6159
215,2018-11-17,65.9931
216,2018-11-20,66.0081
217,2018-11-21,65.5871
218,2018-11-22,65.9485
219,2018-11-23,65.6067
220,2018-11-24,65.6664
221,2018-11-27,66.5072
222,2018-11-28,66.78
223,2018-11-29,66.9436
224,2018-11-30,66.6342
225,2018-12-01,66.5335
226,2018-12-04,66.2921
227,2018-12-05,66.4467
228,2018-12-06,66.8242
229,2018-12-07,66.7377
230,2018-12-08,66.9227
231,2018-12-11,66.2416
232,2018-12-12,66.5022
233,2018-12-13,66.4225
234,2018-12-14,66.255
235,2018-12-15,66.4337
236,2018-12-18,66.6208
237,2018-12-19,66.7454
238,2018-12-20,67.1121
239,2018-12-21,67.371
240,2018-12-22,68.0085
241,2018-12-25,68.4073
242,2018-12-26,68.7448
243,2018-12-27,68.8865
244,2018-12-28,68.8762
245,2018-12-29,69.5218
246,2018-12-30,69.4706
247,2019-01-10,67.0795
248,2019-01-11,66.8605
249,2019-01-12,66.9167
250,2019-01-15,67.192
251,2019-01-16,67.082
252,2019-01-17,66.7617
253,2019-01-18,66.4438
254,2019-01-19,66.3309
255,2019-01-22,66.3634
256,2019-01-23,66.5499
257,2019-01-24,66.3318
258,2019-01-25,66.0016
259,2019-01-26,65.917
260,2019-01-29,65.93
261,2019-01-30,66.3412
262,2019-01-31,66.0987
263,2019-02-01,65.3577
264,2019-02-02,65.6601
265,2019-02-05,65.5859
266,2019-02-06,65.5691
267,2019-02-07,65.6686
268,2019-02-08,66.0199
269,2019-02-09,66.0628
270,2019-02-12,65.6517
271,2019-02-13,65.7147
272,2019-02-14,65.6783
273,2019-02-15,66.5429
274,2019-02-16,66.7044
275,2019-02-19,66.247
276,2019-02-20,66.2022
277,2019-02-21,65.8568
278,2019-02-22,65.5401
279,2019-02-23,65.5149
280,2019-02-26,65.2582
281,2019-02-27,65.6182
282,2019-02-28,65.757
283,2019-03-01,65.8895
284,2019-03-02,65.8145
285,2019-03-05,65.7956
286,2019-03-06,65.8004
287,2019-03-07,65.843
288,2019-03-08,65.9646
289,2019-03-12,66.0763
290,2019-03-13,65.7674
291,2019-03-14,65.589
292,2019-03-15,65.4021
293,2019-03-16,65.4201
294,2019-03-19,64.6694
295,2019-03-20,64.3167
296,2019-03-21,64.2803
297,2019-03-22,63.742
298,2019-03-23,63.7705
299,2019-03-26,64.4993
300,2019-03-27,64.1683
301,2019-03-28,64.5925
302,2019-03-29,64.8012
303,2019-03-30,64.7347
304,2019-04-02,65.4176
305,2019-04-03,65.4726
306,2019-04-04,65.1639
307,2019-04-05,65.3281
308,2019-04-06,65.4072
309,2019-04-09,65.3498
310,2019-04-10,64.7766
311,2019-04-11,64.7373
312,2019-04-12,64.3991
313,2019-04-13,64.5171
314,2019-04-16,64.2469
315,2019-04-17,64.2422
316,2019-04-18,63.945
317,2019-04-19,64.0688
318,2019-04-20,63.9602
319,2019-04-23,63.786
320,2019-04-24,63.7906
321,2019-04-25,63.9798
322,2019-04-26,64.6794
323,2019-04-27,64.7053
324,2019-04-30,64.6917
325,2019-05-01,64.6314
326,2019-05-07,65.335
327,2019-05-08,65.2166
328,2019-05-09,65.2287
329,2019-05-14,65.4703
330,2019-05-15,65.3001
331,2019-05-16,64.8489
332,2019-05-17,64.5598
333,2019-05-18,64.6327
334,2019-05-21,64.4888
335,2019-05-22,64.5372
336,2019-05-23,64.4156
337,2019-05-24,64.4913
338,2019-05-25,64.6106
339,2019-05-28,64.4636
340,2019-05-29,64.5394
341,2019-05-30,64.9084
342,2019-05-31,65.0583
343,2019-06-01,65.3834
344,2019-06-04,65.5547
345,2019-06-05,65.1614
346,2019-06-06,65.1243
347,2019-06-07,65.234
348,2019-06-08,65.0395
349,2019-06-11,64.7919
350,2019-06-12,64.5158
351,2019-06-14,64.6314
352,2019-06-15,64.4326
353,2019-06-18,64.3187
354,2019-06-19,64.3352
355,2019-06-20,63.9794
356,2019-06-21,63.3877
